product_category_name_english,orders,items_sold,unique_products,unique_sellers,items_gmv,freight_total,avg_item_price,median_item_price,avg_freight,commercial_total,gmv_pct
health_beauty,8836,9670,2444,492,1258681.34,182566.73,130.16,79.9,18.88,1441248.07,9.26
watches_gifts,5624,5991,1329,101,1205005.68,100535.93,201.14,129.0,16.78,1305541.6099999999,8.87
bed_bath_table,9417,11115,3029,196,1036988.68,204693.04,93.3,79.05,18.42,1241681.72,7.63
sports_leisure,7720,8641,2867,481,988048.97,168607.51,114.34,78.0,19.51,1156656.48,7.27
computers_accessories,6689,7827,1639,287,911954.32,147318.08,116.51,81.99,18.82,1059272.4,6.71
furniture_decor,6449,8334,2657,370,729762.49,172749.3,87.56,65.49,20.73,902511.79,5.37
cool_stuff,3632,3796,789,267,635290.85,84039.1,167.36,129.99,22.14,719329.95,4.67
housewares,5884,6964,2335,468,632248.66,146149.11,90.79,59.8,20.99,778397.77,4.65
auto,3897,4235,1900,383,592720.11,92664.21,139.96,84.9,21.88,685384.32,4.36
garden_tools,3518,4347,753,237,485256.46,98962.75,111.63,59.9,22.77,584219.21,3.57
toys,3886,4117,1411,252,483946.6,77425.95,117.55,79.9,18.81,561372.5499999999,3.56
baby,2885,3065,919,244,411764.89,68353.11,134.34,77.98,22.3,480118.0,3.03
perfumery,3162,3419,868,175,399124.87,54213.84,116.74,84.99,15.86,453338.70999999996,2.94
telephony,4199,4545,1134,149,323667.52999999997,71215.79,71.21,29.99,15.67,394883.31999999995,2.38
office_furniture,1273,1691,309,34,273960.7,68571.95,162.01,144.99,40.55,342532.65,2.02
stationery,2311,2517,849,173,230943.23,46798.48,91.75,79.0,18.59,277741.71,1.7
computers,181,203,30,9,222963.13,9836.3,1098.34,1100.0,48.45,232799.43,1.64
pet_shop,1710,1947,719,137,214315.41,39561.24,110.07,89.7,20.32,253876.65,1.58
musical_instruments,628,680,289,70,191498.88,18638.49,281.62,94.84,27.41,210137.37,1.41
small_appliances,630,679,231,105,190648.58,16020.25,280.78,99.0,23.59,206668.83,1.4
unknown,1473,1627,623,263,185049.76,28613.14,113.74,69.99,17.59,213662.90000000002,1.36
electronics,2550,2767,517,149,160246.74,46578.32,57.91,21.9,16.83,206825.06,1.18
consoles_games,1062,1137,317,82,157465.22,19828.02,138.49,59.0,17.44,177293.24,1.16
fashion_bags_accessories,1864,2031,849,99,152823.54,31450.0,75.25,49.0,15.48,184273.54,1.12
construction_tools_construction,748,929,400,128,144677.59,20650.41,155.73,89.0,22.23,165328.0,1.06
luggage_accessories,1034,1092,349,73,140429.98,30445.23,128.6,99.94,27.88,170875.21000000002,1.03
home_appliances_2,234,238,90,46,113317.74,10600.18,476.12,225.94,44.54,123917.92000000001,0.83
home_construction,490,604,225,68,83088.12,13832.24,137.56,95.2,22.9,96920.36,0.61
home_appliances,764,771,370,48,80171.53,14818.9,103.98,47.59,19.22,94990.43,0.59
agro_industry_and_commerce,182,212,74,34,72530.47,5843.6,342.12,258.65,27.56,78374.07,0.53
furniture_living_room,422,503,156,56,68916.56,17968.170000000002,137.01,103.97,35.72,86884.73,0.51
fixed_telephony,217,264,116,49,59583.0,4637.81,225.69,64.48,17.57,64220.81,0.44
home_confort,397,434,111,20,58572.04,8501.23,134.96,89.9,19.59,67073.27,0.43
air_conditioning,253,297,124,52,55024.96,6749.23,185.27,139.99,22.72,61774.19,0.4
audio,350,364,58,36,50688.5,5710.44,139.25,89.0,15.69,56398.94,0.37
small_appliances_home_oven_and_coffee,75,76,31,15,47445.71,2747.86,624.29,587.0,36.16,50193.57,0.35
