customer_state,customer_city,orders,customers,items_gmv,freight_total,avg_order_gmv,avg_freight
AC,brasileia,1,1,59.699999999999996,79.83,59.7,79.83
AC,cruzeiro do sul,3,3,957.79,169.27,319.26,56.42
AC,epitaciolandia,1,1,92.34,47.18,92.34,47.18
AC,manoel urbano,1,1,194.99,53.72,194.99,53.72
AC,porto acre,1,1,74.9,29.45,74.9,29.45
AC,rio branco,70,66,13904.32,3013.23,198.63,43.05
AC,senador guiomard,2,2,409.98,137.11,204.99,68.56
AC,xapuri,2,2,288.93,156.96,144.46,78.48
AL,agua branca,1,1,63.8,68.3,63.8,68.3
AL,anadia,2,2,379.89,82.71000000000001,189.94,41.36
AL,arapiraca,29,28,8728.71,1421.32,300.99,49.01
AL,atalaia,1,1,89.58,48.07,89.58,48.07
AL,barra de santo antonio,2,2,567.0,62.12,283.5,31.06
AL,barra de sao miguel,2,2,155.98000000000002,70.66,77.99,35.33
AL,batalha,3,3,214.79000000000002,93.31,71.6,31.1
AL,belem,3,2,568.99,87.48,189.66,29.16
AL,boca da mata,2,2,219.73000000000002,78.30000000000001,109.86,39.15
AL,cacimbinhas,1,1,32.5,20.8,32.5,20.8
AL,cajueiro,1,1,99.9,38.25,99.9,38.25
AL,campo alegre,2,1,919.1,78.86,459.55,39.43
AL,canapi,1,1,230.0,147.32,230.0,147.32
AL,coite do noia,1,1,89.9,21.11,89.9,21.11
AL,colonia leopoldina,2,2,477.98,53.870000000000005,238.99,26.94
AL,coruripe,3,3,1222.3,136.79,407.43,45.6
AL,delmiro gouveia,4,4,1125.8,227.91,281.45,56.98
AL,dois riachos,1,1,104.99,47.26,104.99,47.26
AL,feliz deserto,2,2,309.89,113.86,154.94,56.93
AL,girau do ponciano,1,1,39.9,34.15,39.9,34.15
AL,ibateguara,2,2,75.9,76.96000000000001,37.95,38.48
AL,igaci,2,2,319.89,75.11,159.94,37.56
AL,igreja nova,2,2,208.0,107.91,104.0,53.96
AL,inhapi,2,2,979.9,95.19999999999999,489.95,47.6
AL,jequia da praia,2,2,251.91,99.33,125.96,49.66
AL,junqueiro,2,2,360.89,103.52000000000001,180.44,51.76
AL,lagoa da canoa,1,1,160.99,43.54,160.99,43.54
AL,luziapolis,1,1,129.99,51.63,129.99,51.63
AL,maceio,247,243,44702.48,8375.6,181.72,34.05
AL,mar vermelho,2,1,519.98,169.04,259.99,84.52
AL,maragogi,5,5,1897.05,238.48,379.41,47.7
AL,maravilha,2,2,214.8,82.74000000000001,107.4,41.37
AL,marechal deodoro,1,1,349.9,29.3,349.9,29.3
AL,maribondo,1,1,49.9,51.07,49.9,51.07
AL,mata grande,2,2,378.65000000000003,90.7,189.32,45.35
AL,matriz de camaragibe,1,1,64.0,20.9,64.0,20.9
AL,monteiropolis,1,1,159.9,43.53,159.9,43.53
AL,murici,1,1,49.9,34.15,49.9,34.15
AL,novo lino,1,1,79.9,34.36,79.9,34.36
AL,olho d'agua das flores,3,2,254.48,91.59,84.83,30.53
AL,palmeira dos indios,8,8,1094.41,369.04999999999995,136.8,46.13
AL,paripueira,1,1,349.9,29.3,349.9,29.3
AL,passo de camaragibe,1,1,41.98,68.3,41.98,68.3
AL,pau d'arco,1,1,92.9,58.08,92.9,58.08
AL,paulo jacinto,2,2,368.89,106.69,184.44,53.34
AL,penedo,8,8,1239.8700000000001,352.79999999999995,154.98,44.1
AL,piacabucu,2,1,228.9,91.5,114.45,45.75
AL,pilar,3,3,99.7,68.66,33.23,22.89
AL,pindoba,2,2,432.0,110.52,216.0,55.26
AL,porto calvo,2,2,323.39,74.53999999999999,161.7,37.27
AL,porto de pedras,1,1,179.9,20.45,179.9,20.45
AL,rio largo,6,6,562.71,130.32999999999998,93.79,21.72
AL,santa luzia do norte,1,1,23.8,21.15,23.8,21.15
AL,santana do ipanema,1,1,249.9,35.55,249.9,35.55
AL,santana do mundau,3,3,1052.8,215.20999999999998,350.93,71.74
AL,sao bras,1,1,29.9,24.84,29.9,24.84
