dataset,column_name,dtype,non_null_count,null_count,null_pct,unique_values,unique_pct,total_rows,duplicated_rows_in_dataset
customers,customer_id,str,99441,0,0.0,99441,100.0,99441,0
customers,customer_unique_id,str,99441,0,0.0,96096,96.64,99441,0
customers,customer_zip_code_prefix,int64,99441,0,0.0,14994,15.08,99441,0
customers,customer_city,str,99441,0,0.0,4119,4.14,99441,0
customers,customer_state,str,99441,0,0.0,27,0.03,99441,0
geolocation,geolocation_zip_code_prefix,int64,1000163,0,0.0,19015,1.9,1000163,261831
geolocation,geolocation_lat,float64,1000163,0,0.0,717360,71.72,1000163,261831
geolocation,geolocation_lng,float64,1000163,0,0.0,717613,71.75,1000163,261831
geolocation,geolocation_city,str,1000163,0,0.0,8011,0.8,1000163,261831
geolocation,geolocation_state,str,1000163,0,0.0,27,0.0,1000163,261831
order_items,order_id,str,112650,0,0.0,98666,87.59,112650,0
order_items,order_item_id,int64,112650,0,0.0,21,0.02,112650,0
order_items,product_id,str,112650,0,0.0,32951,29.25,112650,0
order_items,seller_id,str,112650,0,0.0,3095,2.75,112650,0
order_items,shipping_limit_date,str,112650,0,0.0,93318,82.84,112650,0
order_items,price,float64,112650,0,0.0,5968,5.3,112650,0
order_items,freight_value,float64,112650,0,0.0,6999,6.21,112650,0
order_payments,order_id,str,103886,0,0.0,99440,95.72,103886,0
order_payments,payment_sequential,int64,103886,0,0.0,29,0.03,103886,0
order_payments,payment_type,str,103886,0,0.0,5,0.0,103886,0
order_payments,payment_installments,int64,103886,0,0.0,24,0.02,103886,0
order_payments,payment_value,float64,103886,0,0.0,29077,27.99,103886,0
order_reviews,review_id,str,99224,0,0.0,98410,99.18,99224,0
order_reviews,order_id,str,99224,0,0.0,98673,99.44,99224,0
order_reviews,review_score,int64,99224,0,0.0,5,0.01,99224,0
order_reviews,review_comment_title,str,11568,87656,88.34,4527,4.56,99224,0
order_reviews,review_comment_message,str,40977,58247,58.7,36159,36.44,99224,0
order_reviews,review_creation_date,str,99224,0,0.0,636,0.64,99224,0
order_reviews,review_answer_timestamp,str,99224,0,0.0,98248,99.02,99224,0
orders,order_id,str,99441,0,0.0,99441,100.0,99441,0
orders,customer_id,str,99441,0,0.0,99441,100.0,99441,0
orders,order_status,str,99441,0,0.0,8,0.01,99441,0
orders,order_purchase_timestamp,str,99441,0,0.0,98875,99.43,99441,0
orders,order_approved_at,str,99281,160,0.16,90733,91.24,99441,0
orders,order_delivered_carrier_date,str,97658,1783,1.79,81018,81.47,99441,0
orders,order_delivered_customer_date,str,96476,2965,2.98,95664,96.2,99441,0
orders,order_estimated_delivery_date,str,99441,0,0.0,459,0.46,99441,0
products,product_id,str,32951,0,0.0,32951,100.0,32951,0
products,product_category_name,str,32341,610,1.85,73,0.22,32951,0
products,product_name_lenght,float64,32341,610,1.85,66,0.2,32951,0
products,product_description_lenght,float64,32341,610,1.85,2960,8.98,32951,0
products,product_photos_qty,float64,32341,610,1.85,19,0.06,32951,0
products,product_weight_g,float64,32949,2,0.01,2204,6.69,32951,0
products,product_length_cm,float64,32949,2,0.01,99,0.3,32951,0
products,product_height_cm,float64,32949,2,0.01,102,0.31,32951,0
products,product_width_cm,float64,32949,2,0.01,95,0.29,32951,0
sellers,seller_id,str,3095,0,0.0,3095,100.0,3095,0
sellers,seller_zip_code_prefix,int64,3095,0,0.0,2246,72.57,3095,0
sellers,seller_city,str,3095,0,0.0,611,19.74,3095,0
sellers,seller_state,str,3095,0,0.0,23,0.74,3095,0
category_translation,product_category_name,str,71,0,0.0,71,100.0,71,0
category_translation,product_category_name_english,str,71,0,0.0,71,100.0,71,0
