product_category_name_english,orders,items_sold,unique_products,unique_sellers,items_gmv,freight_total,avg_item_price,median_item_price,avg_freight,commercial_total,gmv_pct
computers,181,203,30,9,222963.13,9836.3,1098.34,1100.0,48.45,232799.43,1.64
home_appliances_2,234,238,90,46,113317.74,10600.18,476.12,225.94,44.54,123917.92000000001,0.83
agro_industry_and_commerce,182,212,74,34,72530.47,5843.6,342.12,258.65,27.56,78374.07,0.53
musical_instruments,628,680,289,70,191498.88,18638.49,281.62,94.84,27.41,210137.37,1.41
small_appliances,630,679,231,105,190648.58,16020.25,280.78,99.0,23.59,206668.83,1.4
fixed_telephony,217,264,116,49,59583.0,4637.81,225.69,64.48,17.57,64220.81,0.44
construction_tools_safety,167,194,91,35,40544.52,3919.1,208.99,125.58,20.2,44463.619999999995,0.3
watches_gifts,5624,5991,1329,101,1205005.68,100535.93,201.14,129.0,16.78,1305541.6099999999,8.87
air_conditioning,253,297,124,52,55024.96,6749.23,185.27,139.99,22.72,61774.19,0.4
furniture_bedroom,95,109,45,23,20028.78,4632.23,183.75,179.0,42.5,24661.01,0.15
cool_stuff,3632,3796,789,267,635290.85,84039.1,167.36,129.99,22.14,719329.95,4.67
kitchen_dining_laundry_garden_furniture,248,281,94,52,46328.37,11999.43,164.87,110.0,42.7,58327.8,0.34
office_furniture,1273,1691,309,34,273960.7,68571.95,162.01,144.99,40.55,342532.65,2.02
construction_tools_construction,748,929,400,128,144677.59,20650.41,155.73,89.0,22.23,165328.0,1.06
costruction_tools_tools,97,103,39,24,15903.95,2030.22,154.41,59.99,19.71,17934.170000000002,0.12
