seller_state,sellers,orders,items_sold,items_gmv,freight_total,avg_item_price,avg_freight,gmv_pct
SP,1849,70188,80342,8753396.21,1482487.67,108.95,18.45,64.4
PR,349,7673,8671,1261887.21,197013.52,145.53,22.72,9.28
MG,244,7930,8827,1011564.74,212595.06,114.6,24.08,7.44
RJ,171,4353,4818,843984.22,93829.9,175.17,19.47,6.21
SC,190,3667,4075,632426.07,106547.06,155.2,26.15,4.65
RS,129,1989,2199,378559.54,57243.09,172.15,26.03,2.79
BA,19,569,643,285561.56,19700.68,444.11,30.64,2.1
DF,30,824,899,97749.48,18494.06,108.73,20.57,0.72
PE,9,406,448,91493.85,12392.46,204.23,27.66,0.67
GO,40,463,520,66399.21,12565.5,127.69,24.16,0.49
ES,23,318,372,47689.61,12171.13,128.2,32.72,0.35
MA,1,392,405,36408.95,12141.29,89.9,29.98,0.27
CE,13,91,94,20240.64,4359.83,215.33,46.38,0.15
PB,6,36,38,17095.0,1489.15,449.87,39.19,0.13
MT,4,137,145,17070.72,4631.73,117.73,31.94,0.13
RN,5,51,56,9992.6,1304.11,178.44,23.29,0.07
MS,5,49,50,8551.69,1198.96,171.03,23.98,0.06
RO,2,14,14,4762.2,712.78,340.16,50.91,0.04
PI,1,12,12,2522.0,443.32,210.17,36.94,0.02
SE,2,9,10,1606.2,318.49,160.62,31.85,0.01
PA,1,8,8,1238.0,155.10999999999999,154.75,19.39,0.01
AM,1,3,3,1177.0,81.8,392.33,27.27,0.01
AC,1,1,1,267.0,32.84,267.0,32.84,0.0
